week,date,water,process,spike,target,count,percent_VLP,percent_large,count/100mL
8,6/29/2023,SEC,samp,Neg1,Total Events,35922,0.86,0.14,16444293333
8,6/29/2023,EFF,samp,Neg1,Total Events,111567,0.96,0.04,51072893333
8,6/29/2023,INF,samp,Neg2,Total Events,24560,0.64,0.36,11243022222
8,6/29/2023,SEC,samp,Neg2,Total Events,85024,0.94,0.06,38922097778
8,6/29/2023,EFF,samp,Neg2,Total Events,123724,0.97,0.03,56638097778
8,6/29/2023,INF,samp,Neg3,Total Events,26756,0.7,0.3,12248302222
8,6/29/2023,SEC,samp,Neg3,Total Events,116172,0.96,0.04,53180960000
8,6/29/2023,EFF,samp,Neg3,Total Events,129715,0.97,0.03,59380644444
8,6/29/2023,INF,samp,Neg4,Total Events,32965,0.75,0.25,15090644444
8,6/29/2023,SEC,samp,Neg4,Total Events,112603,0.96,0.04,51547151111
8,6/29/2023,EFF,samp,Neg4,Total Events,128149,0.97,0.03,58663764444
8,6/29/2023,PBS,samp,Neg1,Total Events,4498,0.32,0.68,2059084444
8,6/29/2023,PBS,samp,Neg2,Total Events,4327,0.26,0.74,1980804444
8,6/29/2023,PBS,samp,Neg3,Total Events,3636,0.24,0.76,1664480000
8,6/29/2023,PBS,samp,Neg4,Total Events,3570,0.2,0.8,1634266667
9,7/6/2023,SEC,samp,Neg1,Total Events,13512,0.8,0.2,6185493333
9,7/6/2023,INF,samp,Neg1,Total Events,35746,0.39,0.61,16363724444
9,7/6/2023,EFF,samp,Neg1,Total Events,31873,0.93,0.07,14590751111
9,7/6/2023,PBS,samp,Neg1,Total Events,2283,0.08,0.92,1045106667
10,7/13/2023,INF,sampG,Neg1,Total Events,39701,0.69,0.31,18174235556
10,7/13/2023,SEC,sampG,Neg1,Total Events,50042,0.93,0.07,22908115556
10,7/13/2023,EFF,sampG,Neg1,Total Events,101136,0.97,0.03,46297813333
10,7/13/2023,INF,sampG,Neg2,Total Events,38061,0.67,0.33,17423480000
10,7/13/2023,SEC,sampG,Neg2,Total Events,50943,0.92,0.08,23320573333
10,7/13/2023,EFF,sampG,Neg2,Total Events,100359,0.97,0.03,45942120000
10,7/13/2023,INF,sampG,Neg3,Total Events,39993,0.69,0.31,18307906667
10,7/13/2023,SEC,sampG,Neg3,Total Events,52843,0.94,0.06,24190351111
10,7/13/2023,EFF,sampG,Neg3,Total Events,102450,0.97,0.03,46899333333
10,7/13/2023,INF,sampG,Neg4,Total Events,39328,0.7,0.3,18003484444
10,7/13/2023,SEC,sampG,Neg4,Total Events,55428,0.94,0.06,25373706667
10,7/13/2023,EFF,sampG,Neg4,Total Events,94260,0.97,0.03,43150133333
10,7/13/2023,PBS,sampG,Neg1,Total Events,3744,0.43,0.57,1713920000
10,7/13/2023,PBS,sampG,Neg2,Total Events,1825,0.06,0.94,835444444.4
10,7/13/2023,PBS,sampG,Neg3,Total Events,1817,0.05,0.95,831782222.2
10,7/13/2023,PBS,sampG,Neg4,Total Events,1647,0.02,0.98,753960000
11,7/25/2023,INF,sampG,Neg1,Total Events,40968,0.81,0.19,18754240000
11,7/25/2023,SEC,sampG,Neg1,Total Events,42064,0.93,0.07,19255964444
11,7/25/2023,EFF,sampG,Neg1,Total Events,88588,0.98,0.02,40553617778
11,7/25/2023,SEC,sampG,Neg2,Total Events,36664,0.94,0.06,16783964444
11,7/25/2023,INF,sampG,Neg2,Total Events,50440,0.83,0.17,23090311111
11,7/25/2023,EFF,sampG,Neg2,Total Events,86100,0.99,0.01,39414666667
11,7/25/2023,SEC,sampG,Neg3,Total Events,36351,0.94,0.06,16640680000
11,7/25/2023,INF,sampG,Neg3,Total Events,52300,0.84,0.16,23941777778
11,7/25/2023,EFF,sampG,Neg3,Total Events,79425,0.99,0.01,36359000000
11,7/25/2023,INF,sampG,Neg4,Total Events,18841,0.67,0.33,8624991111
11,7/25/2023,SEC,sampG,Neg4,Total Events,48606,0.95,0.05,22250746667
11,7/25/2023,EFF,sampG,Neg4,Total Events,83661,0.99,0.01,38298146667
11,7/25/2023,PBS,sampG,Neg1,Total Events,524,0.31,0.69,239875555.6
11,7/25/2023,PBS,sampG,Neg2,Total Events,319,0.08,0.92,146031111.1
11,7/25/2023,PBS,sampG,Neg3,Total Events,250,0.04,0.96,114444444.4
11,7/25/2023,PBS,sampG,Neg4,Total Events,281,0.04,0.96,128635555.6
1,5/10/2023,INF,samp,Neg1,VLP Events,66152,0.72,0.28,30282915556
1,5/10/2023,SEC,samp,Neg1,VLP Events,99177,0.96,0.04,45401026667
1,5/10/2023,EFF,samp,Neg1,VLP Events,168269,0.98,0.02,77029808889
1,5/10/2023,INF,samp,Neg2,VLP Events,67658,0.74,0.26,30972328889
1,5/10/2023,SEC,samp,Neg2,VLP Events,110781,0.98,0.02,50713080000
1,5/10/2023,EFF,samp,Neg2,VLP Events,161030,0.98,0.02,73715955556
1,5/10/2023,INF,samp,Neg3,VLP Events,58888,0.74,0.26,26957617778
1,5/10/2023,SEC,samp,Neg3,VLP Events,92340,0.97,0.03,42271200000
1,5/10/2023,EFF,samp,Neg3,VLP Events,149271,0.98,0.02,68332946667
1,5/10/2023,INF,samp,Neg4,VLP Events,56596,0.73,0.27,25908391111
1,5/10/2023,SEC,samp,Neg4,VLP Events,85968,0.97,0.03,39354240000
1,5/10/2023,EFF,samp,Neg4,VLP Events,131843,0.97,0.03,60354795556
1,5/10/2023,PBS,samp,Neg1,VLP Events,436,0.16,0.84,199591111.1
1,5/10/2023,PBS,samp,Neg2,VLP Events,298,0.11,0.89,136417777.8
1,5/10/2023,PBS,samp,Neg3,VLP Events,335,0.14,0.86,153355555.6
1,5/10/2023,PBS,samp,Neg4,VLP Events,240,0.11,0.89,109866666.7
2,5/18/2023,INF,samp,Neg1,VLP Events,41096,0.69,0.31,18812835556
2,5/18/2023,SEC,samp,Neg1,VLP Events,72088,0.96,0.04,33000284444
2,5/18/2023,EFF,samp,Neg1,VLP Events,119599,0.97,0.03,54749764444
2,5/18/2023,INF,samp,Neg2,VLP Events,38974,0.7,0.3,17841431111
2,5/18/2023,SEC,samp,Neg2,VLP Events,76130,0.97,0.03,34850622222
2,5/18/2023,EFF,samp,Neg2,VLP Events,122578,0.97,0.03,56113484444
2,5/18/2023,INF,samp,Neg3,VLP Events,37150,0.7,0.3,17006444444
2,5/18/2023,SEC,samp,Neg3,VLP Events,71648,0.96,0.04,32798862222
2,5/18/2023,EFF,samp,Neg3,VLP Events,114238,0.98,0.02,52295617778
2,5/18/2023,INF,samp,Neg4,VLP Events,33979,0.7,0.3,15554831111
2,5/18/2023,SEC,samp,Neg4,VLP Events,71445,0.96,0.04,32705933333
2,5/18/2023,EFF,samp,Neg4,VLP Events,110092,0.98,0.02,50397671111
2,5/18/2023,PBS,samp,Neg1,VLP Events,406,0.13,0.87,185857777.8
2,5/18/2023,PBS,samp,Neg2,VLP Events,251,0.1,0.9,114902222.2
2,5/18/2023,PBS,samp,Neg3,VLP Events,371,0.14,0.86,169835555.6
2,5/18/2023,PBS,samp,Neg4,VLP Events,321,0.13,0.87,146946666.7
3,5/24/2023,INF,samp,Neg1,VLP Events,44295,0.7,0.3,20277266667
3,5/24/2023,SEC,samp,Neg1,VLP Events,74392,0.96,0.04,34055004444
3,5/24/2023,EFF,samp,Neg1,VLP Events,168291,0.98,0.02,77039880000
3,5/24/2023,INF,samp,Neg2,VLP Events,42057,0.71,0.29,19252760000
3,5/24/2023,SEC,samp,Neg2,VLP Events,71961,0.96,0.04,32942146667
3,5/24/2023,EFF,samp,Neg2,VLP Events,151233,0.98,0.02,69231106667
3,5/24/2023,INF,samp,Neg3,VLP Events,35538,0.69,0.31,16268506667
3,5/24/2023,SEC,samp,Neg3,VLP Events,55562,0.95,0.05,25435048889
3,5/24/2023,EFF,samp,Neg3,VLP Events,129550,0.98,0.02,59305111111
3,5/24/2023,INF,samp,Neg4,VLP Events,21816,0.59,0.41,9986880000
3,5/24/2023,SEC,samp,Neg4,VLP Events,30939,0.92,0.08,14163186667
3,5/24/2023,EFF,samp,Neg4,VLP Events,103483,0.98,0.02,47372217778
3,5/24/2023,PBS,samp,Neg1,VLP Events,264,0.09,0.91,120853333.3
3,5/24/2023,PBS,samp,Neg2,VLP Events,197,0.08,0.92,90182222.22
3,5/24/2023,PBS,samp,Neg3,VLP Events,138,0.06,0.94,63173333.33
3,5/24/2023,PBS,samp,Neg4,VLP Events,79,0.04,0.96,36164444.44
